Key	Type	Desc	English	German	Japanese	Korean	Spanish	Chinese (Simplified)	Thai
Emotes/TutorialBreakWood	Text	 [new]	I should make use of all of this wood...	Ich sollte all das Holz für irgendetwas verwenden ...	この木をすべて上手く使わないとな…	이 나무를 전부 활용해야겠어...	Debería darle uso a toda esta madera...	我应该利用这些木头……	เอาไม้พวกนี้ไปใช้ประโยชน์ดีกว่า...
Emotes/TutorialCraftMiningPick	Text	 [new]	Breaking walls would be easier if I had a tool...	Mit einem Werkzeug ließen sich Wände leichter zerstören ...	道具があれば壁をもっと簡単に壊せるだろうな…	도구가 있다면 벽을 더 쉽게 부술 수 있을 텐데...	Sería más fácil destruir muros si tuviera una herramienta...	要是有工具，拆墙就能轻松点……	ถ้ามีเครื่องมือคงทำลายกำแพงพวกนี้ได้ง่ายขึ้น...
Emotes/TutorialCraftTorch	Text	 [new]	I wish I had a light source...	Ich wünschte, ich hätte eine Lichtquelle bei mir ...	灯りがあればな…	빛이 있으면 좋을 텐데...	Ojalá tuviera algo para iluminarme...	要是有光源就好了……	ถ้ามีแสงไฟก็คงดี...
Emotes/TutorialCraftWorkbench	Text	 [new]	I could craft more complex tools if I had a place to tinker...	Mit einem Platz für Handwerk könnte ich komplexere Werkzeuge herstellen ...	モノ作りができる場所があれば、もっと高度な道具を作れるかも…	작업할 곳이 있으면 더 복잡한 도구를 제작할 수 있어...	Podría fabricar herramientas más complejas si tuviera un lugar para trastear...	要是有个可以修修补补的地方，我就能制作更复杂的工具……	ถ้ามีที่ให้ทำงานคงสามารถประดิษฐ์เครื่องมือที่ซับซ้อนยิ่งขึ้นได้...
Emotes/TutorialSmeltOre	Text	 [new]	This ore isn't very useful unless I smelt it down...	Dieses Erz hat keinen großen Nutzen, solange ich es nicht einschmelze ...	この鉱石は、溶かすまではあまり使い道がないだろうな…	이 광석은 제련하기 전까지는 별 쓸모가 없어...	Este mineral no sirve de mucho si no lo fundo...	我得把这块矿石熔炼掉，否则它没什么用……	แร่พวกนี้ไม่ค่อยมีประโยชน์นอกจากจะเอาไปหลอม...
Emotes/UnlockedInEarlyAccess	Text	 [new]	Unlocked in Early Access	Im Early Access freigeschaltet	早期アクセスでアンロック	앞서 해보기에서 잠금 해제	Desbloqueado en acceso anticipado	将于抢先体验版中解锁	ปลดล็อกใน Early Access
Emotes/UnlocksAtLaunch	Text	 [new]	"Continue your exploration beyond the wall at 1.0,
unlocks August 27th 2024."	"Setze die Erkundung jenseits der Wand mit 1.0 fort.
Die Freischaltung erfolgt am 27. August 2024"	"製品版1.0で壁を越えて探索を続けよう
2024年8月27日アンロック"	"1.0에서 벽 너머를 계속 탐험하세요
2024년 8월 27일에 잠금 해제"	"Sigue explorando más allá del muro en la versión 1.0.
Disponible el 27 de agosto de 2024"	"在 1.0 版中继续探索墙壁外的世界
于 2024 年 8 月27 日解锁"	"สำรวจโลกที่อยู่เลยกำแพงไปได้ใน 1.0
ปลดล็อกวันที่ 27 สิงหาคม 2024"
Emotes/WaypointActivated	Text	 [new]	Waypoint activated	Wegpunkt aktiviert	ウェイポイントが有効化されました	웨이포인트 활성화됨	Punto de paso activado	已激活路径点	เปิดใช้งานทางลัด
Error/Authenticating	Text	 [new]	Authenticating.	Authentifizierung läuft.	認証中。	인증 중.	Autenticando.	验证中。	กำลังยืนยันตัวตน
Error/AuthenticationFailed	Text	 [new]	Authentication failed	Authentifizierung fehlgeschlagen	認証に失敗しました	인증 실패	Autenticación fallida	身份验证失败	การตรวจสอบสิทธิ์ล้มเหลว
Error/BackingStorageFull	Text	 [new]	Disk or cloud quota is full, try deleting some things	Festplatte oder Cloud-Kontingent ist voll – versuche es damit, einige Dinge zu löschen	ディスクまたはクラウドの容量が足りません。容量を確保してください。	디스크 또는 클라우드에 공간이 부족합니다. 다른 항목을 삭제해 보세요	El disco o el espacio en la nube está lleno; prueba a eliminar algo	硬盘或云存储空间已满，请先删除一些文件试试看	พื้นที่เก็บในไดรฟ์หรือบนคลาวด์เต็มแล้ว กรุณาลบบางไฟล์ออก
Error/BadInternet	Text	 [new]	Currently experiencing connection issues.	Es bestehen momentan Probleme mit der Verbindung.	現在、接続にエラーが発生しています。	현재 연결에 문제가 발생했습니다.	Se están produciendo problemas de conexión.	当前正遇到连接问题。	กำลังพบปัญหาการเชื่อมต่อ
Error/BadProtocolVersion	Text	 [new]	Game version mismatch	Falsche Spielversion	ゲームバージョンがマッチしません	게임 버전이 일치하지 않음	Incompatibilidad de versiones del juego	游戏版本不匹配	เวอร์ชันเกมไม่ตรงกัน
Error/Canceled	Text	 [new]	Operation was canceled	Vorgang wurde abgebrochen	操作がキャンセルされました	작업이 취소되었습니다	Operación cancelada	操作已取消	การดำเนินการถูกยกเลิก
Error/CannotJoinSession	Text	 [new]	You cannot join this session.	Du kannst dieser Sitzung nicht beitreten.	このセッションに参加できません。	이 세션에 참가할 수 없습니다.	No puedes unirte a esta sesión.	你不能加入此会话。	ไม่สามารถเข้าร่วมเซสชั่นได้
Error/CharacterVersionTooHigh	Text	 [new]	This character was created using a more recent game version. Please check for game updates.	Dieser Charakter wurde mit einer neueren Spielversion erstellt. Bitte prüfe, ob Spiel-Updates verfügbar sind.	より新しいゲームバージョンで作成されたキャラクターです。アップデートをご確認ください。	이 캐릭터는 게임의 더 최근 버전으로 생성되었습니다. 게임 업데이트를 확인해 주세요.	Este personaje se ha creado usando una versión más reciente del juego. Consulta las actualizaciones.	这个角色是使用较新的游戏版本创建的。请检查游戏更新。	ตัวละครนี้สร้างขึ้นโดยใช้เกมเวอร์ชันที่ใหม่กว่า กรุณาตรวจสอบอัปเดตเกม
Error/CompileFailed	Text	 [new]	Compilation failed	Kompilierung fehlgeschlagen	コンパイルに失敗しました	컴파일링 실패	Compilación fallida	编译失败	การรวบรวมไม่สำเร็จ
Error/ConnectionClose	Text	 [new]	Connection closed	Verbindung geschlossen	接続が終了しました	연결 끊김	Conexión cerrada	连接已关闭	การเชื่อมต่อถูกปิด
Error/ConnectionFailedWith	Text	 [new]	Connection failed:	Verbindung fehlgeschlagen:	接続失敗：	연결 실패:	Error de conexión:	连接失败：	เชื่อมต่อไม่สำเร็จ:
Error/ConnectionLost	Text	 [new]	Connection lost	Verbindung unterbrochen	切断されました	연결 끊김	Conexión perdida	连接丢失	สูญเสียการเชื่อมต่อ
Error/CrossplayNotEnabled	Text	 [new]	Crossplay not enabled	Plattformübergreifendes Spielen deaktiviert	クロスプレイ無効	크로스플레이가 활성화되지 않았습니다	Crossplay no habilitado	未启用跨平台游玩	ปิดการเล่นข้ามแพลตฟอร์มอยู่
Error/FailedToLoad	Text	 [new]	Failed to load	Konnte nicht geladen werden	ロードに失敗しました	로딩하지 못했습니다	Error al cargar	加载失败	โหลดไม่สำเร็จ
Error/FileAccess	Text	 [new]	Couldn't access file	Auf Datei konnte nicht zugegriffen werden	ファイルにアクセスできませんでした	파일에 액세스할 수 없습니다	No se ha podido acceder al archivo	无法访问文件	เข้าถึงไฟล์ไม่ได้
Error/GameNotFound	Text	 [new]	Could not find game	Spiel kann nicht gefunden werden	ゲームが見つかりませんでした	게임을 찾을 수 없음	No se ha podido encontrar la partida	找不到游戏	ไม่พบเกม
Error/HostDisableCrossplay	Text	 [new]	There seems to be an issue with crossplay. You can ask the host to disable it in the gameplay settings.	Es scheint ein Problem mit dem plattformübergreifenden Spielen zu geben. Du kannst den Host darum bitten, diese Funktion in den Spieleinstellungen zu deaktivieren.	クロスプレイに問題が発生しているようです。ホストにゲーム設定からクロスプレイの無効化を依頼すれば改善する可能性があります。	크로스플레이에 문제가 있는 것으로 보입니다. 호스트에게 게임플레이 설정에서 크로스플레이를 비활성화하도록 요청할 수 있습니다.	Parece haber un problema con el modo crossplay. Puedes pedirle al anfitrión que lo desactive en los ajustes de juego.	跨平台游玩似乎存在问题。你可以要求主机在游戏设置中将其禁用。	ดูเหมือนว่าจะเกิดปัญหากับการเล่นข้ามแพลตฟอร์ม คุณสามารถขอให้โฮสต์ปิดการใช้งานได้ในการตั้งค่าเกมเพลย์
Error/HostDoesNotAllowCrossplay	Text	 [new]	Host does not allow crossplay	Host gestattet kein plattformübergreifendes Spielen	ホストがクロスプレイを許可していません	호스트가 크로스플레이를 허용하지 않습니다	El anfitrión no permite crossplay	主机不允许跨平台游玩	โฮสต์ไม่อนุญาตการเล่นข้ามแพลตฟอร์ม
Error/HostIncompatiblePlatform	Text	 [new]	Host is incompatible with your platform since it does not support crossplay.	Deine Plattform und die Plattform des Hosts sind nicht kompatibel, da sie plattformübergreifendes Spielen nicht unterstützt.	クロスプレイ未対応のため、使用中のプラットフォームはホストと互換性を持ちません。	현재 플랫폼이 크로스플레이를 지원하지 않아 호스트와 호환되지 않습니다.	El anfitrión es incompatible con tu plataforma porque no permite crossplay.	主机不支持跨平台游玩，因此和你的平台不兼容。	โฮสต์เข้ากับแพลตฟอร์มของคุณไม่ได้เนื่องจากไม่รองรับการเล่นข้ามแพลตฟอร์ม
Error/HostNotReady	Text	 [new]	Host is not ready	Host ist nicht bereit	ホストの準備がまだです	호스트가 준비되지 않음	El servidor no está listo	主机尚未准备就绪	โฮสต์ยังไม่พร้อม
Error/InternalError	Text	 [new]	Internal error	Interner Fehler	内部エラー	내부 오류	Error interno	内部错误	ข้อผิดพลาดภายใน
Error/InvalidAccess	Text	 [new]	Invalid access	Ungültiger Zugriff	無効なアクセス	유효하지 않은 액세스	Acceso no válido	无效访问	การเข้าถึงไม่ถูกต้อง
Error/InvalidRpc	Text	 [new]	Invalid network message	Ungültige Netzwerkmeldung	無効なネットワークメッセージ	유효하지 않은 네트워크 메시지	Mensaje de red no válido	网络消息无效	ข้อความเครือข่ายไม่ถูกต้อง
Error/MaxConnectionAttempts	Text	 [new]	Connection failed after too many retries	Verbindung nach zu vielen Versuchen fehlgeschlagen	何度も再試行しましたが接続に失敗しました	너무 많은 시도 이후로 연결 실패	Conexión fallida después de demasiados intentos	重试次数过多，连接失败	เชื่อมต่อไม่สำเร็จหลังลองใหม่มากเกินไป
Error/MaxSessionTimeReached	Text	 [new]	Maximum session time reached.	Maximale Sitzungszeit erreicht.	最大セッション時間に達しました。	최대 세션 시간에 도달했습니다.	Se ha alcanzado la duración máxima de la sesión.	已达到最长会话时间。	ถึงเวลาเซสชั่นสูงสุดแล้ว
Error/MultiplayerDisabledDueToError	Text	 [new]	Connection to the multiplayer backend was lost. To re-enable multiplayer, exit and reopen the game world.	Die Verbindung zum Multiplayer-Backend wurde unterbrochen. Um Multiplayer zu reaktiveren, musst du die Welt verlassen und neu öffnen.	マルチプレイヤーバックエンドへの接続が失われました。マルチプレイヤーを再開するためにはゲームワールドから退出し、ふたたび開いてください。	멀티플레이어 백엔드와의 연결이 끊겼습니다. 멀티플레이어를 다시 활성화하려면 게임 세계를 종료한 후 다시 여세요.	Se ha perdido la conexión con el servidor multijugador. Para reactivar el modo multijugador, sal y vuelve a abrir el mundo de juego.	与多人游戏后端的连接已丢失。要重新启用多人游戏，请退出并重新打开游戏世界。	สูญเสียการเชื่อมต่อกับระบบ backend ของโหมดผู้เล่นหลายคน ปิดแล้วเปิดโลกเกมใหม่อีกรอบเพื่อเปิดใช้งานผู้เล่นหลายคนใหม่อีกครั้ง
Error/MultiplayerNonSteamNotAvailable	Text	 [new]	Multiplayer with players outside of Steam is not available.	Der Multiplayer-Modus ist mit Nicht-Steam-Spielern nicht verfügbar.	Steam外のプレイヤーとはマルチプレイができません。	Steam 외 플랫폼을 사용하는 플레이어와 멀티플레이어를 이용할 수 없습니다.	El modo multijugador con jugadores de fuera de Steam no está disponible.	无法与非 Steam 平台的玩家进行多人游戏。	ผู้เล่นหลายคนกับผู้เล่นนอก Steam ไม่พร้อมใช้งาน
Error/MultiplayerNotAvailable	Text	 [new]	Multiplayer is not available.	Der Multiplayer-Modus ist nicht verfügbar.	マルチプレイができません。	멀티플레이어를 이용할 수 없습니다.	Modo multijugador no disponible.	无法进行多人游戏。	ผู้เล่นหลายคนไม่พร้อมใช้งาน
Error/NetworkInitFailed	Text	 [new]	Network initialization failed.	Netzwerk-Initialisierung fehlgeschlagen.	ネットワークの初期化に失敗しました。	네트워크 초기화에 실패했습니다.	Error al inicializar la red.	网络初始化失败。	เริ่มต้นเครือข่ายไม่สำเร็จ
Error/NoNetwork	Text	 [new]	No network	Kein Netzwerk	ネットワークがありません	네트워크 없음	Sin red	没有网络	ไม่มีเครือข่าย
Error/NoWorldWriteWarning	Text	 [new]	There has been no auto save since {0} minutes. This probably means an error has occurred. Restarting the host is recommended to ensure all progress is saved.	Seit {0} Minuten fand keine automatische Speicherung statt. Das bedeutet wahrscheinlich, dass ein Fehler aufgetreten ist. Es wird empfohlen, den Host neu zu starten, um das Speichern aller Fortschritte sicherzustellen.	{0}分間オートセーブが行われていません。エラーが発生した可能性があります。すべての進行状況を確実に保存するために、ホストの再起動を推奨いたします。	지난 {0}분 동안 자동 저장이 이루어지지 않았습니다. 오류가 발생한 것으로 보입니다. 진행 상황이 손실되지 않도록 호스트를 재시작하는 것을 권장합니다.	No ha habido guardado automático en {0} minutos. Probablemente signifique que ha habido un error. Recomendamos reiniciar el servidor para asegurar que se guarde todo el progreso.	游戏已经 {0} 分钟没有自动保存了。这可能意味着有错误发生。建议重启主机，确保所有进度都得到保存。	ไม่มีการบันทึกอัตโนมัติในช่วง {0} นาทีที่ผ่านมาซึ่งอาจแปลว่าเกิดข้อผิดพลาดขึ้น เราขอแนะนำให้โฮสต์ทำการรีสตาร์ทเพื่อให้มั่นใจว่าความคืบหน้าทั้งหมดจะได้รับการบันทึกไว้
Error/NoWorldWriteWarningEnd	Text	 [new]	Auto save successful!	Automatisches Speichern erfolgreich!	オートセーブが完了しました！	자동 저장 성공!	¡Guardado automático realizado!	自动保存成功！	บันทึกอัตโนมัติสำเร็จ!
Error/PleaseWait	Text	 [new]	Please wait.	Bitte warten.	お待ちください。	잠시 기다려 주세요.	Espera.	请等待。	โปรดรอ
Error/ReconnectAuthentication	Text	 [new]	authenticating	Authentifizierung läuft	認証中	인증 중	autenticando	验证中	กำลังยืนยันตัวตน
Error/ReconnectLobby	Text	 [new]	joining lobby	Lobbybeitritt	ロビーに参加中	로비 참가 중	accediendo a vestíbulo	加入大厅中	กำลังเข้าร่วมล็อบบี้
Error/ReconnectNetwork	Text	 [new]	checking internet connection	Internetverbindung wird geprüft	インターネット接続の確認中	인터넷 연결 확인 중	comprobando conexión a Internet	检查网络连接中	กำลังตรวจสอบการเชื่อมต่ออินเทอร์เน็ต
Error/ReconnectPlatformSession	Text	 [new]	joining platform session	Beitritt zur Plattform-Sitzung	プラットフォームセッションに参加中	플랫폼 세션 참가 중	accediendo a sesión de plataforma	加入平台会话中	กำลังเข้าร่วมเซสชั่นแพลตฟอร์ม
Error/ReconnectPlayFabNetwork	Text	 [new]	joining network	Netzwerk-Beitritt	ネットワークに参加中	네트워크 참가 중	accediendo a red	加入网络中	กำลังเข้าร่วมเครือข่าย
Error/ReconnectServerPlayer	Text	 [new]	waiting for host	warte auf Host	ホストの待機中	호스트 기다리는 중	esperando a anfitrión	等待主机中	กำลังรอโฮสต์
Error/Reconnecting	Text	 [new]	"Trying to reconnect
(Step {0}/{1}: {2})"	"Es wird versucht, eine Verbindung wiederherzustellen
(Schritt {0}/{1}: {2})"	"再接続の試行中
（ステップ {0}/{1}: {2}）"	"재연결 시도 중
({0}/{1}단계: {2})"	"Intentando reconectar
(paso {0}/{1}: {2})"	"正在尝试重新连接
（步骤 {0}/{1}：{2}）"	"กำลังพยายามเชื่อมต่อใหม่
(ขั้นที่ {0}/{1}: {2})"
Error/RecreateSession	Text	 [new]	recreating session	Sitzung wird wiederhergestellt	セッションの再作成中	세션 재생성 중	recreando sesión	重新创建会话中	กำลังสร้างเซสชั่นใหม่
Error/SaveFileCorrupt	Text	 [new]	Could not read save file	Speicherdatei konnte nicht gelesen werden	セーブファイルの読み込みに失敗しました	저장 파일을 읽을 수 없음	No se ha podido leer el archivo guardado	无法读取存档文件。	ไม่สามารถอ่านไฟล์เซฟได้
Error/SessionBlockedBy	Text	 [new]	You cannot join this session because it contains a user who has blocked you.	Du kannst dieser Sitzung nicht beitreten, weil ein Benutzer daran teilnimmt, der dich ausgeschlossen hat.	あなたをブロックしたユーザーがいるためこのセッションに参加できません。	나를 차단한 사용자가 있어 이 세션에 참가할 수 없습니다.	No puedes unirte a esta sesión porque un usuario que te ha bloqueado forma parte de ella.	你不能加入此会话，因为其中有拉黑你的用户。	ไม่สามารถเข้าร่วมเซสชั่นได้เนื่องจากมีผู้ใช้ที่บล็อกคุณอยู่
Error/SessionContainsBlockedUser	Text	 [new]	You cannot join this session because it contains a user you have blocked.	Du kannst dieser Sitzung nicht beitreten, weil ein von dir ausgeschlossener Benutzer daran teilnimmt.	ブロックしたユーザーがいるためこのセッションに参加できません。	내가 차단한 사용자가 있어 이 세션에 참가할 수 없습니다.	No puedes unirte a esta sesión porque un usuario al que has bloqueado forma parte de ella.	你不能加入此会话，因为其中有你已拉黑的用户。	ไม่สามารถเข้าร่วมเซสชั่นได้เนื่องจากมีผู้ใช้ที่คุณบล็อกอยู่
Error/SessionJoinBanned	Text	 [new]	You cannot join this session because you have been banned by a session admin.	Du kannst dieser Sitzung nicht beitreten, weil du von einem Sitzungsadministrator ausgeschlossen wurdest.	セッション管理者から参加を禁止されているためこのセッションに参加できません。	세션 관리자에게 차단당해 이 세션에 참가할 수 없습니다.	No puedes unirte a esta sesión porque un administrador te ha vetado.	你不能加入此会话，因为你已被会话管理员封禁。	ไม่สามารถเข้าร่วมเซสชั่นได้เนื่องจากถูกแอดมินเซสชั่นแบน
Error/Timeout	Text	 [new]	Connection timed out	Zeitüberschreitung bei der Verbindung	接続タイムアウト	연결 시간 초과	Conexión expirada	连接超时	หมดเวลาเชื่อมต่อ
Error/Unknown	Text	 [new]	Unknown error	Unbekannter Fehler	不明なエラー	알 수 없는 오류	Error desconocido	未知错误	ข้อผิดพลาดที่ไม่รู้จัก
Error/UserConnected	Text	 [new]	{0} connected.	{0} verbunden.	{0}が接続されました。	{0} 님이 접속했습니다.	{0} se ha conectado.	{0} 已连接。	{0} เชื่อมต่อแล้ว
Error/UserDisconnected	Text	 [new]	{0} disconnected.	{0} Verbindung getrennt.	{0}が切断されました。	{0} 님이 접속을 종료했습니다.	{0} se ha desconectado.	{0} 已断开连接。	{0} หยุดเชื่อมต่อแล้ว
Error/WorldVersionTooHigh	Text	 [new]	This world was created using a more recent game version. Please check for game updates.	Diese Welt wurde mit einer neueren Spielversion erstellt. Bitte prüfe, ob Spiel-Updates verfügbar sind.	より新しいゲームバージョンで作成されたワールドです。アップデートをご確認ください。	이 세계는 게임의 더 최근 버전으로 생성되었습니다. 게임 업데이트를 확인해 주세요.	Este mundo se ha creado usando una versión más reciente del juego. Consulta las actualizaciones.	这个世界是使用较新的游戏版本创建的。请检查游戏更新。	โลกนี้สร้างขึ้นโดยใช้เกมเวอร์ชันที่ใหม่กว่า กรุณาตรวจสอบอัปเดตเกม
Error/reqFailNotificationGPU	Text	 [new]	Warning: Your GPU does not meet the minimum requirements. Game visuals might not work correctly	Warnung: Dein Grafikprozessor entspricht nicht den Mindestanforderungen. Die Grafik des Spiels wird unter Umständen nicht richtig funktionieren.	警告：GPUが最小要件を満たしていません。ゲームのビジュアルが正しく動作しない可能性があります。	경고: GPU가 최소 요건을 충족하지 못합니다. 게임 그래픽이 제대로 작동하지 않을 수 있습니다.	Advertencia: Tu unidad de procesamiento gráfico no alcanza los requisitos mínimos. Los gráficos del juego podrían no funcionar correctamente.	警告：你的GPU不符合最低要求。游戏的视觉效果可能无法正常工作。	คำเตือน: GPU ของคุณไม่ตรงตามความต้องการขั้นต่ำสุด ภาพในเกมอาจทำงานไม่ถูกต้อง
FollowTwitter	Text	 [new]	Follow us on Twitter	Folge uns auf Twitter	公式Twitterをフォロー	Twitter에서 팔로우하기	Síguenos en Twitter	在 Twitter 上关注我们	ติดตามเราบน Twitter
FoodAdjectives/AmberLarva	Text	 [new]	Meaty	Fleischiges	肉厚な	통통한	Carnoso	肉质的	เนื้อล้วน
FoodAdjectives/AmberLarvaFemale	Text	 [new]	Meaty	Fleischige	肉厚な	통통한	Carnosa	肉质的	เนื้อล้วน
FoodAdjectives/AmberLarvaMale	Text	 [new]	Meaty	Fleischiger	肉厚な	통통한	Carnoso	肉质的	เนื้อล้วน
FoodAdjectives/AngleFish	Text	 [new]	Encased	Umhülltes	封じられた	둘러싸인	Encerrado	被包裹着的	ห่อหุ้ม
FoodAdjectives/AngleFishFemale	Text	 [new]	Encased	Umhüllte	封じられた	둘러싸인	Encerrada	被包裹着的	ห่อหุ้ม
FoodAdjectives/AngleFishMale	Text	 [new]	Encased	Umhüllter	封じられた	둘러싸인	Encerrado	被包裹着的	ห่อหุ้ม
FoodAdjectives/AstralJelly	Text	 [new]	Astral	Astrales	星の	별의	Astral	宛若星辰的	กายทิพย์
FoodAdjectives/AstralJellyFemale	Text	 [new]	Astral	Astrale	星の	별의	Astral	宛若星辰的	กายทิพย์
FoodAdjectives/AstralJellyMale	Text	 [new]	Astral	Astraler	星の	별의	Astral	宛若星辰的	กายทิพย์
FoodAdjectives/AtlantianWormHeart	Text	 [new]	Atlantean	Atlantisches	アトラスの	초거대	Atlante	亚特兰蒂斯的	แอตแลนเทียน
FoodAdjectives/AtlantianWormHeartFemale	Text	 [new]	Atlantean	Atlantische	アトラスの	초거대	Atlante	亚特兰蒂斯的	แอตแลนเทียน
FoodAdjectives/AtlantianWormHeartMale	Text	 [new]	Atlantean	Atlantischer	アトラスの	초거대	Atlante	亚特兰蒂斯的	แอตแลนเทียน
FoodAdjectives/AzureFeatherFish	Text	 [new]	Azure	Azurblaues	空色の	하늘색	Cerúleo	蔚蓝色的	สีฟ้าใส
FoodAdjectives/AzureFeatherFishFemale	Text	 [new]	Azure	Azurblaue	空色の	하늘색	Cerúlea	蔚蓝色的	สีฟ้าใส
FoodAdjectives/AzureFeatherFishMale	Text	 [new]	Azure	Azurblauer	空色の	하늘색	Cerúleo	蔚蓝色的	สีฟ้าใส
FoodAdjectives/BlackSteelUrchin	Text	 [new]	Black	Schwarzes	黒色の	검정	Negro	黑色的	สีดำ
FoodAdjectives/BlackSteelUrchinFemale	Text	 [new]	Black	Schwarze	黒色の	검정	Negra	黑色的	สีดำ
FoodAdjectives/BlackSteelUrchinMale	Text	 [new]	Black	Schwarzer	黒色の	검정	Negro	黑色的	สีดำ
FoodAdjectives/BloatOat	Text	 [new]	Filling	Sättigendes	お腹いっぱいの	든든한	Relleno	饱腹感很强的	อิ่มท้อง
FoodAdjectives/BloatOatFemale	Text	 [new]	Filling	Sättigende	お腹いっぱいの	든든한	Rellena	饱腹感很强的	อิ่มท้อง
FoodAdjectives/BloatOatMale	Text	 [new]	Filling	Sättigender	お腹いっぱいの	든든한	Relleno	饱腹感很强的	อิ่มท้อง
FoodAdjectives/BloatOatRare	Text	 [new]	Stodgy	Nährendes	お腹がふくれる	더부룩한	Pesado	不易消化的	อยู่ท้อง
FoodAdjectives/BloatOatRareFemale	Text	 [new]	Stodgy	Nährende	お腹がふくれる	더부룩한	Pesada	不易消化的	อยู่ท้อง
FoodAdjectives/BloatOatRareMale	Text	 [new]	Stodgy	Nährender	お腹がふくれる	더부룩한	Pesado	不易消化的	อยู่ท้อง
FoodAdjectives/BlueCaveGuppy	Text	 [new]	Blue	Blaues	青色の	파랑	Azul	蓝色的	สีน้ำเงิน
FoodAdjectives/BlueCaveGuppyFemale	Text	 [new]	Blue	Blaue	青色の	파랑	Azul	蓝色的	สีน้ำเงิน
FoodAdjectives/BlueCaveGuppyMale	Text	 [new]	Blue	Blauer	青色の	파랑	Azul	蓝色的	สีน้ำเงิน
FoodAdjectives/BombPepper	Text	 [new]	Spicy	Würziges	スパイシーな	매콤한	Picante	辛辣的	รสเผ็ด
FoodAdjectives/BombPepperFemale	Text	 [new]	Spicy	Würzige	スパイシーな	매콤한	Picante	辛辣的	รสเผ็ด
FoodAdjectives/BombPepperMale	Text	 [new]	Spicy	Würziger	スパイシーな	매콤한	Picante	辛辣的	รสเผ็ด
FoodAdjectives/BombPepperRare	Text	 [new]	Piquant	Pikantes	ピリ辛	톡 쏘는	Sazonado	超辣的	เผ็ด
FoodAdjectives/BombPepperRareFemale	Text	 [new]	Piquant	Pikante	ピリ辛	톡 쏘는	Sazonada	超辣的	เผ็ด
FoodAdjectives/BombPepperRareMale	Text	 [new]	Piquant	Pikanter	ピリ辛	톡 쏘는	Sazonado	超辣的	เผ็ด
FoodAdjectives/BottomTracer	Text	 [new]	Bright Yellow	Hellgelbes	山吹色の	샛노랑	Amarillo brillante	亮黄色	เหลืองสว่าง
FoodAdjectives/BottomTracerFemale	Text	 [new]	Bright Yellow	Hellgelbe	山吹色の	샛노랑	Amarillo brillante	亮黄色	เหลืองสว่าง
FoodAdjectives/BottomTracerMale	Text	 [new]	Bright Yellow	Hellgelber	山吹色の	샛노랑	Amarillo brillante	亮黄色	เหลืองสว่าง
FoodAdjectives/BrightLavaEater	Text	 [new]	Bright	Helles	輝く	밝은	Brillante	亮色的	สว่าง
FoodAdjectives/BrightLavaEaterFemale	Text	 [new]	Bright	Helle	輝く	밝은	Brillante	亮色的	สว่าง
FoodAdjectives/BrightLavaEaterMale	Text	 [new]	Bright	Heller	輝く	밝은	Brillante	亮色的	สว่าง
FoodAdjectives/BrownDuneTail	Text	 [new]	Brown	Braunes	茶色の	갈색	Marrón	褐色的	สีน้ำตาล
FoodAdjectives/BrownDuneTailFemale	Text	 [new]	Brown	Braune	茶色の	갈색	Marrón	褐色的	สีน้ำตาล
FoodAdjectives/BrownDuneTailMale	Text	 [new]	Brown	Brauner	茶色の	갈색	Marrón	褐色的	สีน้ำตาล
FoodAdjectives/Carrock	Text	 [new]	Crunchy	Knuspriges	カリカリの	바삭한	Crujiente	脆口的	กรุบกรอบ
FoodAdjectives/CarrockFemale	Text	 [new]	Crunchy	Knusprige	カリカリの	바삭한	Crujiente	脆口的	กรุบกรอบ
FoodAdjectives/CarrockMale	Text	 [new]	Crunchy	Knuspriger	カリカリの	바삭한	Crujiente	脆口的	กรุบกรอบ
FoodAdjectives/CarrockRare	Text	 [new]	Hard	Hartes	カチコチの	딱딱한	Difícil	坚硬的	แข็ง
FoodAdjectives/CarrockRareFemale	Text	 [new]	Hard	Harte	カチコチの	딱딱한	Difícil	坚硬的	แข็ง
FoodAdjectives/CarrockRareMale	Text	 [new]	Hard	Harter	カチコチの	딱딱한	Difícil	坚硬的	แข็ง
FoodAdjectives/CosmicForm	Text	 [new]	Cosmic	Kosmisches	宇宙の	우주의	Cósmico	宇宙的	ห้วงอวกาศ
FoodAdjectives/CosmicFormFemale	Text	 [new]	Cosmic	Kosmische	宇宙の	우주의	Cósmica	宇宙的	ห้วงอวกาศ
FoodAdjectives/CosmicFormMale	Text	 [new]	Cosmic	Kosmischer	宇宙の	우주의	Cósmico	宇宙的	ห้วงอวกาศ
FoodAdjectives/CrownSquid	Text	 [new]	Crowned	Gekröntes	ド派手な	대왕	Coronado	戴着王冠的	ติดมงกุฎ
FoodAdjectives/CrownSquidFemale	Text	 [new]	Crowned	Gekrönte	ド派手な	대왕	Coronada	戴着王冠的	ติดมงกุฎ
FoodAdjectives/CrownSquidMale	Text	 [new]	Crowned	Gekrönter	ド派手な	대왕	Coronado	戴着王冠的	ติดมงกุฎ
FoodAdjectives/DaggerFin	Text	 [new]	Sharp	Scharfes	鋭い	날카로운	Afilado	锋利的	แหลมคม
FoodAdjectives/DaggerFinFemale	Text	 [new]	Sharp	Scharfe	鋭い	날카로운	Afilada	锋利的	แหลมคม
